1			0
1			0
2			0
3			0
5			0
8			0
13			0
21			0
34			0
55			0
89			0
144			0
233			0
377			0
610			0
987			0
1597			0
2584			0
4181			0
6765			0
10946			0
17711			0
28657			0
46368			0
75025			0
121393			0
196418			0
317811			0
514229			0
832040			0
1.34627e+06			0
2.17831e+06			0
3.52458e+06			0
5.70289e+06			0
9.22746e+06			0
1.49304e+07			0
2.41578e+07			0
3.90882e+07			0
6.3246e+07			0
1.02334e+08			0
1.6558e+08			0
2.67914e+08			0
4.33494e+08			0
7.01409e+08			0
1.1349e+09			0
1.83631e+09			0
2.97122e+09			0
4.80753e+09			0
